CRN,,,Cred,Gr,Class,Start,End,,Max,,Sts
Course-Sec,Course Title,Class Type,Hrs,Tp,Days,Time,Time,Instructor,Enrl,Enrl,Rmng
14994 ECSE-9990-05,DISSERTATION,LEC,1-18,,,** TBA **,,Shur,25.0,0.0,25.0
14987 ECSE-9990-46,DISSERTATION,LEC,1-18,,,** TBA **,,Huang,25.0,0.0,25.0
14862 ENGR-2050-01,INTRO ENGR DESIGN,LEC,4.0,,M R,10:30,12:35PM,Woodcock/Anderson/Kno,28.0,24.0,4.0
15247 ENGR-2050-02,INTRO ENGR DESIGN,LEC,4.0,,T F,10:30,12:35PM,LaGraff/Knowles/Ander,28.0,25.0,3.0
15316 ENGR-2050-03,INTRO ENGR DESIGN,LEC,4.0,,T F,8:00,10:05AM,LaGraff/Allard/Anders,32.0,27.0,5.0
15418 ENGR-2050-04,INTRO ENGR DESIGN,LEC,4.0,,M R,10:30,12:35PM,Korolov/Corron/Anders,28.0,20.0,8.0
15471 ENGR-2050-05,INTRO ENGR DESIGN,LEC,4.0,,M R,8:00,10:05AM,Alnaggar/Allard/Ander,32.0,32.0,0.0
15527 ENGR-2050-06,INTRO ENGR DESIGN,LEC,4.0,,T F,10:30,12:35PM,Ozisik/Gross/Anderson,28.0,15.0,13.0
15531 ENGR-2050-07,INTRO ENGR DESIGN,LEC,4.0,,M R,10:30,12:35PM,Wang/Anderson/Obiero,28.0,17.0,11.0
15271 ENGR-2090-01,ENGINEERING DYNAMICS,LEC,4.0,,T F,10:30,12:35PM,Taylor,62.0,61.0,1.0
15273 ENGR-2090-02,ENGINEERING DYNAMICS,LEC,4.0,,M R,1:30,3:35PM,Abdellatef,62.0,62.0,0.0
15661 ENGR-2300-01,ELECTRONIC INSTRUMENTATION,LEC,4.0,,M R,10:30,12:35PM,Braunstein,70.0,30.0,40.0
15661 ENGR-2300-01,ELECTRONIC INSTRUMENTATION,LAB,,,M,1:30,3:35PM,Staff,,,
15659 ENGR-2350-01,EMBEDDED CONTROL,LEC,4.0,,T F,10:30,12:35PM,Wilt,70.0,30.0,40.0
15659 ENGR-2350-01,EMBEDDED CONTROL,LAB,,,T,1:30,4:30PM,Staff,,,
15234 ENGR-2530-01,STRENGTH OF MATERIALS,LEC,4.0,,M R,8:00,10:05AM,El-Shafee/Abdellatef,50.0,23.0,27.0
15188 ENGR-2530-02,STRENGTH OF MATERIALS,LEC,4.0,,T F,8:00,10:05AM,El-Shafee/Abdellatef,50.0,19.0,31.0
14863 ENGR-2600-01,MOD & ANALYSIS UNCERTAIN,LEC,3.0,,M R,10:30,12:35PM,Aboul-Seou,50.0,27.0,23.0
15421 ENGR-2600-02,MOD & ANALYSIS UNCERTAINTY,LEC,3.0,,T F,10:30,12:35PM,Keblinski/Sundararam,50.0,34.0,16.0
15526 ENGR-2600-03,MODELING & ANALYSIS UNCERTAINT,LEC,3.0,,M R,1:30,3:35PM,Wang,50.0,22.0,28.0
15096 ENGR-4760-01,ENGINEERING ECONOMICS,LEC,3.0,,,** TBA **,,Foley/Aboul-Seou,75.0,74.0,1.0
15307 ENVE-4310-01,APPL HYDROLOGY & HYDRAULICS,LEC,4,,T F,8:00,10:05AM,Letchford,16.0,15.0,1.0
15307 ENVE-4310-01,APPL HYDROLOGY & HYDRAULICS,LAB,,,M,3:45,5:35PM,Letchford,,,
15326 ENVE-4310-02,APPL HYDROLOGY & HYDRAULICS,LEC,4,,T F,8:00,10:05AM,Letchford,16.0,17.0,-1.0
15326 ENVE-4310-02,APPL HYDROLOGY & HYDRAULICS,LAB,,,T,3:45,5:35PM,Letchford,,,
15327 ENVE-4310-03,APPL HYDROLOGY & HYDRAULICS,LEC,4,,T F,8:00,10:05AM,Letchford,16.0,12.0,4.0
15327 ENVE-4310-03,APPL HYDROLOGY & HYDRAULICS,LAB,,,R,3:45,5:35PM,Letchford,,,
15373 ENVE-4310-04,APPL HYDROLOGY & HYDRAULICS,LAB,4,,F,3:45,5:35PM,Letchford,16.0,4.0,12.0
15373 ENVE-4310-04,APPL HYDROLOGY & HYDRAULICS,LEC,,,T F,8:00,10:05AM,Letchford,,,
14986 ENVE-9990-02,DISSERTATION,LEC,1-15,,,** TBA **,,Kilduff,25.0,0.0,25.0
